City,Latitude,Longitude
Raisin City,36.60073702,-119.9066077
Sanger,36.71333905,-119.5819257
Del Rey,36.65667004,-119.5976717
Selma,36.56285801,-119.616563
Five Points,36.40034798,-120.1427447
Firebaugh,36.852601,-120.4466268
Kerman,36.72900502,-120.0434127
Mendota,36.766359,-120.3815758
Helm,36.53314,-120.0994667
Tranquillity,36.645773,-120.2542638
Cantua Creek,36.50199898,-120.3211298
San Joaquin,36.609641,-120.1866417
Tollhouse,37.03721609,-119.4550387
Prather,37.04180008,-119.5261447
Willows,39.5251361,-122.2093154
Orland,39.74794112,-122.1833614
Rancho Cordova,38.58730048,-121.2855911
Princeton,39.40103811,-122.0111134
Elk Creek,39.60686608,-122.5383945
Hamilton City,39.745837,-122.0167
Fortuna,40.58899202,-124.1418438
Eureka,40.80269203,-124.1520849
Arcata,40.86404902,-124.074954
Weott,40.32018402,-123.9242498
Manila,40.84552203,-124.1690349
McKinleyville,40.95522504,-124.1091309
Trinidad,41.15741306,-124.1311269
Blue Lake,40.88547505,-123.9914919
Bridgeville,40.47104704,-123.7964428
Carlotta,40.53781302,-124.0425548
Hydesville,40.54915602,-124.0931528
Bayside,40.84685504,-124.0678749
Hoopa,41.04894809,-123.6755788
Orleans,41.30168412,-123.5424829
Willow Creek,40.94950409,-123.6399108
Kneeland,40.72647705,-123.9442968
Loleta,40.64380702,-124.2182089
Korbel,40.76044505,-123.8701238
Orick,41.28705207,-124.0588149
Samoa,40.82204303,-124.1825229
Rio Dell,40.50171302,-124.1041738
Scotia,40.48172902,-124.1007958
Miranda,40.23692102,-123.8235277
Blocksburg,40.24148504,-123.6231647
Redway,40.11922501,-123.8248487
Whitethorn,40.019354,-123.9371637
Ferndale,40.58488901,-124.2599909
Petrolia,40.32170899,-124.2855618
Honeydew,40.242117,-124.1234758
El Centro,32.78092285,-115.5400546
Brawley,32.97094263,-115.5264574
Calexico,32.67665484,-115.4730916
Calipatria,33.12483789,-115.5249506
Niland,33.23747491,-115.5173657
Heber,32.73915885,-115.5320956
Holtville,32.81629886,-115.3861316
Imperial,32.83107086,-115.5520386
Winterhaven,32.74958489,-114.5982925
Seeley,32.79537485,-115.6918117
Westmorland,33.03592588,-115.6179967
Los Angeles,34.04839401,-118.256128
Long Beach,33.82337483,-118.1854032
Bishop,37.36030719,-118.4342615
Big Pine,37.16148318,-118.2886125
Shoshone,35.97907219,-116.27267
Lone Pine,36.60220714,-118.0606194
Independence,36.80293715,-118.1964024
Delano,35.78434498,-119.2121875
Arvin,35.21359495,-118.8347034
Lost Hills,35.61263893,-119.6847366
Bakersfield,35.37507699,-119.021504
Ridgecrest,35.61737506,-117.6885752
Woody,35.703712,-118.8372094
Buttonwillow,35.40048493,-119.4745335
Caliente,35.34570699,-118.3783903
Tupman,35.29821392,-119.3548545
Shafter,35.50882795,-119.2676135
Lamont,35.25838995,-118.9083364
Lake Isabella,35.60778301,-118.4649794
Kernville,35.75716303,-118.4177914
Glennville,35.72997901,-118.7042504
Maricopa,35.05416489,-119.4038265
Pine Mountain Club,34.85734989,-119.2096394
McKittrick,35.30982991,-119.6209145
Fellows,35.1722329,-119.5440455
California City,35.11080299,-117.9585172
Mojave,35.05129897,-118.1667083
Edwards,34.92708697,-117.9394432
Boron,35.00484499,-117.6552072
Wasco,35.71738897,-119.3126805
Rosamond,34.84995895,-118.1950553
Weldon,35.64684203,-118.2747393
Taft,35.1301049,-119.4590125
Tehachapi,35.13005596,-118.4384983
Inyokern,35.64560506,-117.8154123
McFarland,35.66637797,-119.2400525
Lebec,34.7997169,-118.8914784
Frazier Park,34.8225529,-118.9396144
Hanford,36.33202098,-119.665598
Armona,36.312164,-119.7098656
N.A.S. Lemoore,36.26376499,-119.8750627
Lemoore,36.24346799,-119.7802496
Stratford,36.19216398,-119.8211026
Corcoran,36.09652599,-119.5724816
Avenal,36.00882094,-120.1254587
Kettleman City,36.00800495,-119.9616127
Clearlake,38.93256102,-122.6247344
Lakeport,38.99415501,-122.8847044
Kelseyville,38.97595301,-122.8318434
Lower Lake,38.91463302,-122.6046684
Clearlake Oaks,39.02843303,-122.6668844
Lucerne,39.08392502,-122.7896724
Middletown,38.75153501,-122.6143944
Cobb,38.82984801,-122.7214964
Hidden Valley Lake,38.79525202,-122.5592304
Upper Lake,39.16506002,-122.9022935
Susanville,40.3757483,-120.5809503
Bieber,41.12171831,-121.1395765
Janesville,40.3030053,-120.5329032
Termo,40.83881134,-120.5131773
Litchfield,40.38227732,-120.3822702
Westwood,40.30395126,-121.0092403
Herlong,40.4211053,-120.6509453
Doyle,40.04570631,-120.1231991
Huntington Park,33.98429585,-118.1968572
Carson,33.84912483,-118.2510122
Van Nuys,34.18710686,-118.5069532
Gardena,33.88046083,-118.2899002
Sylmar,34.31611687,-118.4836293
Downey,33.93447699,-118.163373
City Of Commerce,34.01150886,-118.1695422
La Verne,34.15301389,-117.7432201
San Dimas,34.13509989,-117.7947211
Malibu,34.09153483,-118.8381823
Inglewood,33.93059984,-118.3353872
Pasadena,34.17061498,-118.161955
South Gate,33.95672499,-118.22984
Lynwood,33.91597784,-118.2024012
Reseda,34.20072486,-118.5305333
El Segundo,33.90739783,-118.3415202
Compton,33.89314184,-118.2154772
Pomona,34.05097088,-117.8195881
Hawthorne,33.89891883,-118.3326052
Altadena,34.19933588,-118.1612842
Cerritos,33.86500484,-118.0651121
Lakewood,33.84510484,-118.0731121
Hawaiian Gardens,33.82356184,-118.0667261
Artesia,33.87210485,-118.0703121
Palmdale,34.56300493,-118.0087122
Lancaster,34.68020493,-118.0702122
Quartz Hill,34.65880492,-118.2432122
Littlerock,34.57360493,-117.9371122
Arcadia,34.13004788,-118.0387812
Azusa,34.12550488,-117.8976121
Covina,34.10460488,-117.9135121
Baldwin Park,34.08390488,-117.9486121
Irwindale,34.07909787,-117.9940732
La Puente,34.05179487,-117.9771541
City Of Industry,34.05762687,-117.9841411
Bellflower,33.87690484,-118.1196122
Beverly Hills,34.06169685,-118.4121932
Burbank,34.1863681,-118.3320403
Castaic,34.51103988,-118.6280073
Lawndale,33.89603283,-118.3668452
Glendora,34.11190989,-117.8478551
Claremont,34.08359889,-117.7160921
West Covina,34.06207688,-117.8826721
Culver City,34.00660484,-118.4024122
Duarte,34.13883988,-117.9794812
Bradbury,34.14439188,-117.9521642
Whittier,33.93570486,-118.0283121
El Monte,34.09320487,-118.0089122
Temple City,34.09920487,-118.0328122
Rosemead,34.08480487,-118.0718122
South El Monte,34.03620487,-118.0440122
Pico Rivera,33.98840486,-118.0904122
San Gabriel,34.07760487,-118.0933122
Monterey Park,34.04710486,-118.1096122
La Crescenta,34.22315888,-118.2433752
Glendale,34.14913387,-118.2511852
Redlands,34.06824892,-117.217026
Gorman,34.7927369,-118.8541664
Hermosa Beach,33.87275483,-118.4025852
Lake Hughes,34.67201991,-118.4246293
Pearblossom,34.49822993,-117.9001362
La Canada,34.19306688,-118.1791442
Lancster,34.68275893,-118.1060422
Calabasas,34.14249785,-118.6133733
Agoura,34.16138784,-118.7556103
Westlake Village,34.14424583,-118.8136683
Agoura Hills,34.16695584,-118.7890133
Lennox,33.93511784,-118.3517982
Norwalk,33.92920485,-118.0852122
Santa Fe Springs,33.95340485,-118.0821122
Santa Catalina,33.33855677,-118.3322051
Signal Hill,33.79302083,-118.1695822
Lake Balboa,34.18726586,-118.5062072
San Pedro,33.76543882,-118.2986422
Chatsworth,34.24245986,-118.5924123
Lake View Terrace,34.28030387,-118.3816812
Canoga Park,34.20666385,-118.5980713
Wilmington,33.78291182,-118.2835852
Woodland Hills,34.17777885,-118.6153113
Venice,33.99652884,-118.4629892
Pacoima,34.24112687,-118.4159102
North Hollywood,34.19293586,-118.3984362
Panorama City,34.22101386,-118.4602312
Northridge,34.24541186,-118.5244363
West Hollywood,34.09356285,-118.3618832
Bell,33.97887385,-118.1980922
Maywood,33.99331985,-118.1841132
North Hills,34.23097286,-118.4613512
Arleta,34.25071487,-118.4425792
Encino,34.16173885,-118.4732122
Sherman Oaks,34.16143186,-118.4686962
Valley Glen,34.17678186,-118.4152372
West Hills,34.19970885,-118.6273633
Hollywood,34.09599186,-118.3139172
Walnut Park,33.96657485,-118.2298092
Cudahy,33.96837085,-118.1885342
San Fernando,34.29588787,-118.4213502
Winnetka,34.20334685,-118.5682823
Sun Valley,34.20404587,-118.3775792
Granada Hills,34.25987986,-118.5027923
Playa Vista,33.96869784,-118.4243952
Porter Ranch,34.29374386,-118.5820123
Harbor City,33.80372483,-118.3065882
"Van Nuys, CA",34.20567069,-118.4424476
Valley Village,34.17149286,-118.3951202
Tarzana,34.16739302,-118.542518
Tujunga,34.25993588,-118.3004962
Marina Del Rey,33.97915284,-118.4649272
Pacific Palisades,34.04787584,-118.5311172
Sunland,34.25581588,-118.3077332
Santa Monica,34.03174684,-118.5121942
Studio City,34.14108986,-118.3922792
Rancho Palos Verdes,33.74950482,-118.3124122
Lomita,33.78778282,-118.3142952
Torrance,33.83297283,-118.3013752
Playa Del Rey,33.95673183,-118.4337752
Mission Hills,34.26216787,-118.4577582
Topanga,34.09210484,-118.6039123
Los Nietos,33.96377485,-118.0755882
Monrovia,34.14196188,-117.9850902
Montebello,34.00480486,-118.1170122
Bell Gardens,33.97620485,-118.1536122
South San Gabriel,34.04520486,-118.0944122
Stevenson Ranch,34.38210487,-118.5790123
Newhall,34.37600488,-118.5138123
Valencia,34.40460487,-118.5921123
La Mirada,33.90780485,-118.0024121
Rolling Hills,33.75961982,-118.3612092
Rolling Hills Estates,33.77830482,-118.3733122
Palos Verdes Estates,33.78060482,-118.4196122
Paramount,33.88520484,-118.1723122
Sierra Madre,34.16457688,-118.0444812
Diamond Bar,34.02458488,-117.8011761
San Marino,34.12523887,-118.0988542
Canyon Country,34.42611188,-118.4758333
Saugus,34.42953088,-118.5323863
South Pasadena,34.10940487,-118.1534122
Santa Clarita,34.39230488,-118.4556123
Leona Valley,34.61501991,-118.2907842
Hacienda Heights,33.99910487,-117.9513121
Valinda,34.02980487,-117.9217121
Rowland Heights,33.98240487,-117.8843121
Walnut,33.99140487,-117.8719121
Walnut Valley,34.04950488,-117.8532121
Acton,34.49282891,-118.1956072
Costa Mesa,33.69021783,-117.8954001
Thousand Oaks,34.15577783,-118.8307633
Fontana,34.0635709,-117.4299171
Temecula,33.510025,-117.183499
Agua Dulce,34.4877609,-118.3324532
Manhattan Beach,33.87470483,-118.3894122
Redondo Beach,33.84775483,-118.3804502
Alhambra,34.09290487,-118.1288122
Highland Park,34.10778286,-118.1982622
Madera,36.95298004,-120.0371158
Chowchilla,37.04805202,-120.4727928
Wawona,37.54485512,-119.6480628
Oakhurst,37.3296541,-119.6461547
Ahwahnee,37.3743421,-119.7274868
Raymond,37.21140707,-119.9087608
North Fork,37.2272411,-119.5056397
O'neals,37.12510108,-119.7297607
Coarsegold,37.25554609,-119.7178507
San Rafael,38.02792995,-122.5668733
Fairfax,37.98972495,-122.5904043
Bolinas,37.91740794,-122.6929193
Kentfield,37.95184795,-122.5391623
Petaluma,38.19964296,-122.7157933
San Geronimo,38.01714095,-122.6753123
Corte Madera,37.92151495,-122.4989432
Larkspur,37.93897695,-122.5312593
Mill Valley,37.90792395,-122.5246273
Nicasio,38.06842695,-122.7037773
Novato,38.07587096,-122.5694603
Tiburon,37.90351795,-122.4963832
Ross,37.96140895,-122.5578233
Sausalito,37.87262495,-122.5138042
San Anselmo,37.98360495,-122.5729133
Tomales,38.24770195,-122.8952873
Inverness,38.09846594,-122.8558893
Point Reyes Station,38.07057794,-122.8030923
Bodega Bay,38.33440394,-123.0449314
Mariposa,37.4717601,-119.9032508
Catheys Valley,37.42374508,-120.1013208
Coulterville,37.74599011,-120.1305889
Yosemite,37.67274812,-119.8084328
El Portal,37.67274812,-119.8084328
La Grange,37.67254609,-120.3586949
Ukiah,39.16131899,-123.2224045
Boonville,39.01201497,-123.3750145
Point Arena,38.91263894,-123.6932175
Fort Bragg,39.42206196,-123.8120996
Manchester,38.96805994,-123.6878266
Mendocino,39.30819096,-123.8015406
Comptche,39.26537597,-123.5952546
Albion,39.21998196,-123.7155936
Covelo,39.79220204,-123.2562156
Hopland,38.96742499,-123.1189055
Redwood Valley,39.267005,-123.2187135
Willits,39.319381,-123.3087075
Potter Valley,39.32139601,-123.1049855
Laytonville,39.68970001,-123.4889966
Leggett,39.865156,-123.7167277
Merced,37.29454404,-120.5092969
Los Banos,37.06789799,-120.8614669
Atwater,37.34000404,-120.6177419
Livingston,37.38606504,-120.6858129
Ballico,37.45463904,-120.7001939
Cressey,37.42156204,-120.6668849
El Nido,37.13441703,-120.4887799
Hilmar,37.39711935,-120.8547726
Stevinson,37.32822302,-120.8568799
Le Grand,37.22787105,-120.2519118
Planada,37.28900705,-120.3156138
Snelling,37.52236906,-120.4342779
Winton,37.38883904,-120.6053129
Gustine,37.261006,-121.0008509
Santa Nella,37.09711798,-121.0203789
South Dos Palos,36.962108,-120.6538649
Dos Palos,36.985815,-120.6226599
Delhi,37.42063603,-120.7858829
Cedarville,41.52730243,-120.1789044
Alturas,41.49126339,-120.5397644
Tulelake,41.94987235,-121.4759536
San Diego,32.75536776,-117.2034539
Mammoth Lakes,37.63903218,-118.9636457
Coleville,38.56831023,-119.5089989
Lee Vining,37.9612372,-119.1214417
Benton,37.81654923,-118.4771396
Bridgeport,38.25450222,-119.2284978
Pacific Grove,36.60542488,-121.93018
Salinas,36.6534149,-121.639773
Monterey,36.60121488,-121.866894
Bradley,35.86282489,-120.8052768
Carmel,36.52776288,-121.828822
Big Sur,36.27520186,-121.813789
Carmel Valley,36.48300488,-121.734513
Chualar,36.57208891,-121.516073
Greenfield,36.3186929,-121.2562499
King City,36.2100129,-121.1262439
Soledad,36.3902059,-121.3647599
Marina,36.67540489,-121.801613
Seaside,36.62599089,-121.833502
Lockwood,35.94356288,-121.0827168
San Ardo,36.01913289,-120.9047858
San Lucas,36.1296199,-121.0168808
Spreckels,36.6258579,-121.644314
Castroville,36.77800491,-121.734513
Gonzales,36.5114709,-121.4414639
Napa,38.30278227,-122.2877506
Calistoga,38.583182,-122.5782673
Angwin,38.58314001,-122.4497083
American Canyon,38.16798299,-122.2434902
Pope Valley,38.62315101,-122.4389823
St. Helena,38.50366469,-122.4713633
Grass Valley,39.23289917,-121.0420472
Nevada City,39.25282616,-121.1345072
Penn Valley,39.19504216,-121.1812002
Santa Ana,33.76318584,-117.9024791
Fountain Valley,33.7322696,-117.9197583
Lake Forest,33.62878484,-117.7004931
Orange,33.78830485,-117.8735821
Laguna Niguel,33.53669483,-117.6963021
Anaheim,33.83537885,-117.9132871
Newport Beach,33.66359683,-117.8713471
Huntington Beach,33.71332283,-117.9955211
Irvine,33.69511584,-117.7785921
San Juan Capistrano,33.50281702,-117.645688
Yorba Linda,33.88246799,-117.735714
Tustin,33.72005484,-117.8039231
La Habra,33.93340486,-117.9657121
Cypress,33.82020484,-118.0292121
La Palma,33.84100484,-118.0377121
Buena Park,33.84810485,-118.0127121
Brea,33.91709786,-117.8889161
Aliso Viejo,33.56130483,-117.7354121
San Clemente,33.46820483,-117.598312
Ladera Ranch,33.55360483,-117.637212
Rancho Santa Margarita,33.62340484,-117.6153121
Mission Viejo,33.56960483,-117.6550121
Rancho Mission Viejo,33.53529183,-117.597108
Las Flores,33.58190484,-117.612512
Dana Point,33.47790482,-117.7004121
Capistrano Beach,33.46120482,-117.667312
Coto De Caza,33.58070484,-117.592112
Fullerton,33.88470485,-117.9618121
Garden Grove,33.78767684,-117.9748171
Westminster,33.73678284,-117.9481591
Laguna Beach,33.54179182,-117.7760831
Stanton,33.81180484,-117.9858121
Corona Del Mar,33.61001983,-117.8607611
Villa Park,33.81650485,-117.8170121
Placentia,33.85950485,-117.8734121
Midway City,33.73900484,-117.9858121
Laguna Hills,33.59316783,-117.7036501
Trabuco Canyon,33.65877785,-117.5898671
Foothill Ranch,33.68221685,-117.6615151
Los Alamitos,33.81201384,-118.0706501
Seal Beach,33.74430483,-118.0947121
Granite Bay,38.75184912,-121.2044222
Auburn,38.90653714,-121.0812532
Alta,39.20757119,-120.8079501
Colfax,39.10463316,-120.9626462
Antelope,38.7081591,-121.3506342
Roseville,38.73848511,-121.3334832
Foresthill,39.02095501,-120.811278
Loomis,38.78890512,-121.1724132
Newcastle,38.89650514,-121.1259132
Penryn,38.85490513,-121.1756132
Olympic Valley,39.19894623,-120.2399941
Rocklin,38.80389511,-121.2986232
Weimar,39.04538416,-120.9785312
Meadow Vista,38.99046615,-121.0257822
Truckee,39.34518725,-120.1774781
Tahoe City,39.19513524,-120.120494
Kingvale,39.31617722,-120.4556701
Kings Beach,39.24035425,-120.028732
Lincoln,38.84750512,-121.2706132
Sheridan,38.98350512,-121.3737132
Quincy,39.93625624,-120.9438323
Portola,39.80123026,-120.4666252
Chester,40.30233924,-121.2301814
Greenville,40.14113325,-120.9448573
Moreno Valley,33.9214049,-117.22582
Coachella,33.67932493,-116.2063818
Riverside,33.9789049,-117.380512
Corona,33.89039488,-117.5646621
Lake Elsinore,33.61946486,-117.310412
Banning,33.93214592,-116.8704579
Cabazon,33.90990492,-116.7801119
Beaumont,33.93317791,-116.953927
Calimesa,33.96723991,-117.041554
Eastvale,33.95195088,-117.5879461
Norco,33.91729388,-117.5644541
Jurupa Valley,33.96594589,-117.5423501
Desert Center,33.85004099,-115.4738227
Indio,33.70467093,-116.2328208
La Quinta,33.67890392,-116.3060718
Palm Desert,33.75910093,-116.3151318
Bermuda Dunes,33.74256993,-116.2984948
Indian Wells,33.72794293,-116.3115168
Hemet,33.72135389,-116.9771879
Anza,33.57070489,-116.6606119
Aguanga,33.48070486,-116.9097119
Idyllwild,33.73810491,-116.7204119
Winchester,33.70300588,-117.085858
Menifee,33.69744488,-117.153264
Murrieta,33.62910487,-117.161412
Quail Valley,33.69835487,-117.245232
Sun City,33.69910487,-117.215312
Nuevo,33.82925089,-117.12882
Cathedral City,33.85285093,-116.4810999
Desert Hot Springs,33.95722894,-116.4914119
Rancho Mirage,33.82142893,-116.4339659
Palm Springs,33.81623192,-116.5225009
Thousand Palms,33.82097393,-116.3976339
Blythe,33.61790901,-114.6063855
Perris,33.76042988,-117.234882
Romoland,33.72409488,-117.148044
San Jacinto,33.7786049,-116.9421119
Thermal,33.57186292,-116.1613378
Salton City,33.30100489,-115.9563117
Mecca,33.57560492,-116.0753118
Wildomar,33.60600486,-117.242012
"Temecula, Ca",33.508544,-117.099305
"Winchester, Ca",33.60670187,-117.084589
Sacramento,38.60282409,-121.4187372
Mather,38.56622509,-121.2984341
Orangevale,38.70683311,-121.2259772
Herald,38.29528507,-121.2421001
Elk Grove,38.41576408,-121.3433781
Sloughhouse,38.4935071,-121.1571071
Wilton,38.40453008,-121.2496591
Elverta,38.71194009,-121.4631182
Folsom,38.65272911,-121.1590991
Galt,38.28430507,-121.2865131
Courtland,38.32973105,-121.5684372
Clarksburg,38.41695206,-121.5281732
Rio Vista,38.15183903,-121.6946002
Isleton,38.16160804,-121.6086961
Walnut Grove,38.24021305,-121.5123531
Carmichael,38.6340441,-121.3402892
Fair Oaks,38.6454441,-121.2639391
Citrus Heights,38.70207411,-121.2977622
Gold River,38.62583151,-121.2294043
McClellan,38.6699881,-121.3852862
Rio Linda,38.68988909,-121.4511202
North Highlands,38.7005761,-121.3702092
Hollister,36.85460694,-121.396913
Paicines,36.51061493,-121.0781619
Tres Pinos,36.80109694,-121.3358569
San Juan Bautista,36.88036999,-121.555966
Aromas,36.89068192,-121.6443
San Bernardino,34.11052992,-117.293787
Chino,34.01639088,-117.7159431
Ranch Cucamonga,34.090587,-117.594743
Victorville,34.47326996,-117.2666871
Adelanto,34.51190195,-117.4174671
Alta Loma,34.1258049,-117.5974121
Barstow,34.88397064,-117.0121824
Lenwood,34.87590501,-117.1082121
Big Bear City,34.25600496,-116.825712
Big Bear Lake,34.24321395,-116.901396
Forest Falls,34.08787393,-116.918876
Rancho Cucamonga,34.1091049,-117.5929121
Ontario,34.0876049,-117.6138121
Etiwanda,34.13010991,-117.5103411
Montclair,34.07300489,-117.7012121
Chino Hills,33.95860488,-117.7116121
Grand Terrace,34.0201179,-117.329302
Colton,34.07150491,-117.310912
Bloomington,34.0580049,-117.4151121
Helendale,34.73451798,-117.3583351
Rialto,34.12277191,-117.367105
Yucca Valley,34.12730097,-116.3712039
Twentynine Palms,34.14291799,-116.0748658
Joshua Tree,34.16308178,-116.3084768
Morongo Valley,34.05330595,-116.5845339
Landers,34.26644698,-116.4317479
Mt. Baldy,34.23125291,-117.6625311
Havasu Lake,34.50873513,-114.4082396
Needles,34.83992416,-114.6051746
Big River,34.14397908,-114.3903655
Oro Grande,34.59842697,-117.3323621
Hesperia,34.42809495,-117.3497121
Phelan,34.42678894,-117.5655511
Highland,34.11110492,-117.183712
Mentone,34.07110492,-117.120912
Loma Linda,34.04180491,-117.229612
Lake Arrowhead,34.23298793,-117.208685
Running Springs,34.20151894,-117.093079
Crestline,34.24811793,-117.305694
Trona,35.7705651,-117.3699552
Yucaipa,34.02960492,-117.060912
Baker,35.27550012,-116.0729589
Fort Irwin,35.25338008,-116.693909
Yermo,34.89730503,-116.888612
Daggett,34.86080502,-116.890312
Newberry Springs,34.86650504,-116.662112
Wrightwood,34.36130493,-117.6364121
Pinon Hills,34.45030493,-117.6443121
Oak Hills,34.38900494,-117.3841121
Lucerne Valley,34.41026497,-116.907614
Upland,34.09576689,-117.6800611
Apple Valley,34.48730497,-117.163412
Escondido,33.08725282,-116.9479909
Chula Vista,32.63454075,-117.0879829
Oceanside,33.18085181,-117.291468
Vista,33.17249281,-117.2207009
La Mesa,32.77577477,-117.0140019
San Marcos,33.14219781,-117.1652079
Imperial Beach,32.58685002,-117.126223
El Cajon,32.78725278,-116.9526229
Alpine,32.82446979,-116.7743388
National City,32.68968476,-117.0855519
Borrego Springs,33.26456887,-116.3827458
Cardiff-by-the-Sea,33.03115579,-117.2746739
Bonita,32.65652276,-117.0334109
Coronado,32.69209076,-117.1782909
Poway,32.93995779,-117.0301479
Del Mar,32.94490478,-117.2497119
Encinitas,33.05730479,-117.296412
Carlsbad,33.0802048,-117.2435119
Fallbrook,33.38010283,-117.255151
Santee,32.84785678,-117.0157559
Spring Valley,32.73012677,-116.9251639
Lakeside,32.86774879,-116.9167379
Jamul,32.72936278,-116.8531599
Julian,33.07879483,-116.5948768
Lemon Grove,32.74160677,-117.0289859
Pine Valley,32.73424201,-116.492194
Campo,32.64278779,-116.4867598
Descanso,32.85894681,-116.6135848
Boulevard,32.6674808,-116.2958308
Potrero,32.61035978,-116.6126938
Ramona,33.03915081,-116.8635319
Rancho Santa Fe,33.0212118,-117.2070879
La Jolla,32.88298878,-117.2222609
Solana Beach,32.99420479,-117.2631119
San Ysidro,32.54810475,-117.0415119
Santa Ysabel,33.09671083,-116.6452968
Rainbow,33.41351584,-117.149241
Valley Center,33.27777684,-116.9542739
Warner Springs,33.27433685,-116.6431169
Pauma Valley,33.31570484,-117.0007119
Bonsall,33.29735983,-117.175053
Pala,33.36578484,-117.0734289
San Francisco,37.74592894,-122.4525162
Stockton,37.90919604,-121.2324931
Escalon,37.79903705,-120.993546
Farmington,37.93030506,-121.004213
Tracy,37.70057101,-121.4422841
Linden,38.01997906,-121.088432
Lockeford,38.16102907,-121.1489001
Victor,38.14260806,-121.2050061
Acampo,38.17419306,-121.2613511
